p_id,Gender,age,vintage (days),has_passed_logical_ability,has_passed_reading_comprehension,has_passed_general_awareness,has_passed_attention_to_detail,has_passed_pattern_recog,Life Time Earnings in Rs.,qualifiers_rejects,qualifiers_approved,qualifiers_re_attempts,voice_rejects,voice_approved,voice_re_attempts,sd_rejects,sd_approved,sd_re_attempts,ts_rejects,ts_approved,ts_re_attempts,other_data_rejects,other_data_approved,other_data_re_attempts,lives,Q Score Qualifiers,Q Score voice,Q Score Sd,Q Score ts,Q score other data,P Score Qualifiers,P Score voice,P Score Sd,P Score ts,P score other data,Q_logical_ability,Q_reading_comprehension,Q_general_awareness,Q_attention_to_detail,Q_pattern_recog,Average Q Score
53326,2,23,113,FALSE,FALSE,FALSE,FALSE,FALSE,199.85,13,6,17,0,0,0,0,37,10,0,0,0,18,99,52,3,-0.861111111,#DIV/0!,1.361702128,#DIV/0!,0.650887574,0,#DIV/0!,84.04255319,#DIV/0!,57.5443787,0,0,0,0,0,#DIV/0!
53528,1,21,112,FALSE,FALSE,FALSE,FALSE,TRUE,7100.38,19,10,15,0,0,5,5,378,118,6,1369,84,33,1785,248,5,-0.75,-1,1.253493014,1.810829335,1.575992256,0,0,81.33732535,95.27073338,89.39980639,0,0,0,0,100,36.60078651
53453,2,25,112,FALSE,FALSE,FALSE,FALSE,FALSE,5015.6,17,25,56,3,1197,5,0,0,0,0,0,0,26,1957,207,5,-0.408163265,1.977593361,#DIV/0!,#DIV/0!,1.668949772,0,99.43983402,#DIV/0!,#DIV/0!,91.72374429,0,0,0,0,0,#DIV/0!
53475,1,19,112,FALSE,FALSE,TRUE,TRUE,TRUE,1117.83,8,24,34,0,3,2,0,172,38,0,0,0,8,456,141,5,-0.03030303,0.8,1.457142857,#DIV/0!,1.247933884,0,65,86.42857143,#DIV/0!,81.19834711,0,0,100,100,100,#DIV/0!
53710,1,31,111,FALSE,FALSE,TRUE,TRUE,TRUE,15484.26,14,37,57,0,1,6,1,899,237,3,1969,139,21,4277,687,5,-0.101851852,-0.571428571,1.371152155,1.796778778,1.569709127,0,0,84.27880387,94.91946945,89.24272818,0,0,100,100,100,56.84410015
53683,1,18,111,FALSE,FALSE,FALSE,FALSE,FALSE,326.3,14,14,23,1,0,1,0,131,36,0,0,0,17,165,65,5,-0.450980392,-1.5,1.353293413,#DIV/0!,0.935222672,0,0,83.83233533,#DIV/0!,71.7611336,0,0,0,0,0,#DIV/0!
53758,2,35,110,FALSE,FALSE,FALSE,FALSE,FALSE,20281.95,21,45,59,4,1903,0,0,281,35,5,1971,40,31,4956,343,5,-0.088,1.991609858,1.667721519,1.930555556,1.783677298,0,99.79024646,91.69303797,98.26388889,94.59193246,0,0,0,0,0,38.43391058
53717,1,22,110,FALSE,FALSE,FALSE,FALSE,FALSE,19092.36,22,14,58,0,0,0,0,3995,255,0,1971,100,25,6326,451,5,-0.787234043,#DIV/0!,1.82,1.855142443,1.786386357,0,#DIV/0!,95.5,96.37856108,94.65965892,0,0,0,0,0,#DIV/0!
53858,1,22,110,FALSE,FALSE,FALSE,FALSE,FALSE,1563.5,21,10,51,1,0,0,0,5,5,0,0,0,22,689,124,5,-0.890243902,-2,0.5,#DIV/0!,1.449101796,0,0,50,#DIV/0!,86.22754491,0,0,0,0,0,#DIV/0!
53802,1,21,110,FALSE,FALSE,FALSE,FALSE,FALSE,158.5,5,6,14,0,2,10,0,0,0,0,0,0,6,46,28,5,-0.48,-0.5,#DIV/0!,#DIV/0!,0.65,0,0,#DIV/0!,#DIV/0!,57.5,0,0,0,0,0,#DIV/0!
